code,libelle,description,objectifs,beneficiaires,impacts
PROJ_A01a,"LA LANGUE FRANÇAISE, LANGUE INTERNATIONALE","Le projet « La langue française, langue internationale » vise à renforcer et valoriser l’usage de la langue française. Il entend promouvoir cet usage auprès des États et gouvernements, des organisations internationales, des populations francophones et plus globalement, de tous ceux qui parlent la langue française à travers le monde.Ce projet intervient dans un contexte de monolinguisme dominant qui fait peser un risque inquiétant sur la diversité des expressions et de la pensée. L’hégémonie ling","Valoriser et renforcer l’usage et l’influence de la langue française auprès des États et gouvernements, des organisations internationales, des populations francophones et, plus globalement, de tous ceux qui parlent le français dans le monde","Ce projet bénéficie prioritairement à trois groupes : 
(i) les décideurs nationaux et internationaux ;
(ii) les acteurs de la création artistique et culturelle ;
(iii) les communautés francophones dans le monde","Ce projet a pour impact d’améliorer et de renforcer l’utilisation de la langue française et d’augmenter la vitalité et l’intensité de l’activité culturelle et intellectuelle en langue française, tout en renforçant l’influence de la Francophonie à l’échelle mondiale. Cela se mesurera par les effets suivants :
• une augmentation significative du nombre de décideurs certifiés (diplomates, fonctionnaires nationaux et internationaux) à la pratique du français au sein des administrations nationales et"
PROJ_A01b,OBSERVATOIRE DE LA LANGUE FRANÇAISE,,,,
PROJ_A01c,"CREATION CULTURELLE, ARTISTIQUE ET PRODUCTION DE CONNAISSANCE EN FRANÇAIS",,,,
PROJ_A02,"LA LANGUE FRANÇAISE, LANGUE D’ENSEIGNEMENT ET D’APPRENTISSAGE","Ce projet vise à renforcer les compétences professionnelles des enseignants de et en français en contexte multilingue, en encourageant leur mobilité, en s’appuyant sur des méthodes éducatives innovantes et des approches pédagogiques modernes et en facilitant les échanges et les bonnes pratiques.
L'OIF s’appuie, pour ce faire, sur une approche structurante de co-construction avec les États et gouvernements membres. Son accompagnement des structures nationales en faveur d’un enseignement de qualit",Promouvoir et soutenir un enseignement de et en langue française de qualité afin de favoriser l’émergence et le renforcement des écosystèmes éducatifs francophones.,"Le projet bénéficie à trois groupes clairement identifiés :

(i) les États et gouvernements souhaitant améliorer la qualité de 
leur enseignement du et en français ;
(ii) la communauté des enseignants de et en français ;
(iii) les apprenants de français.","Ce projet a pour impact l’amélioration substantielle de la qualité de l’enseignement en langue française d’ici 2027, grâce à une augmentation de 30 % du taux de réussite scolaire des élèves pour lesquels les enseignants ont bénéficié d’un accompagnement de l’OIF. Cela se mesurera par les effets suivants :
• l’adoption de plans d’actions en faveur d’un enseignement du français et en français de qualité ;
• plus de 50 000 enseignants touchés par des formations et les ressources disponibles sur la "
PROJ_A03,INITIATIVE FRANCOPHONE POUR LA FORMATION À DISTANCE DES MAÎTRES (IFADEM),"L’Initiative francophone pour la formation à distance des maîtres (IFADEM) vise à contribuer de manière significative à la consolidation de l’usage du français en tant que langue d’enseignement, d’apprentissage et de communication. Il adopte une approche novatrice pour relever ces défis éducatifs qui conditionnent l’avenir de millions de jeunes. Cette initiative transforme la manière dont les enseignants sont formés, avec pour objectif d’assurer à chaque individu un accès à une éducation de qual","Renforcer la qualité de l’éducation dans le respect de la diversité linguistique. De facon spécifique, contribuer à l’amélioration de la qualité des enseignements et apprentissages par le renforcement des compétences professionnelles des enseignants et du personnel de supervision.","Le projet se déploiera prioritairement dans les zones rurales d’Afrique de l’Ouest (Burkina Faso, Bénin, Mali, Niger, Côte d’Ivoire, Sénégal, Guinée), d’Afrique centrale (République centrafricaine, Burundi, Cameroun, Tchad, République démocratique du Congo), de l’océan Indien (Comores, Madagascar), d’Asie-Pacifique (Vanuatu), des Caraïbes (Haïti) et du Moyen-Orient (Égypte, Liban).

Quatre groupes cibles seront directement visés :
(i) les enseignants et les directeurs d’école de l’éducation de b","Ce projet a pour impact l’accroissement des compétences en français et en mathématiques de plus de 80 % des élèves des classes dotées d’enseignants formés par le projet. Cela se mesurera par les effets suivants :
• 10 ministères de l’Éducation appuyés développent et mettent en œuvre des dispositifs de formation à distance ;
• 80 % des 75 000 enseignants et directeurs d’écoles formés maîtrisent (taux de réussite à l’évaluation finale de 80 %) et mettent en œuvre des pratiques pertinentes, innovan"
PROJ_A04,ÉCOLE ET LANGUES NATIONALES (ELAN),"Le projet « École et langues nationales » vise à améliorer l’apprentissage scolaire par une intégration optimale des langues nationales au sein des programmes éducatifs.
Ce projet intervient dans un contexte mondial marqué par des défis éducatifs d’une nouvelle ampleur. Les progrès considérables accomplis ces dernières décennies n’arrivent pas à garantir un accès universel à l’éducation. Si l’augmentation des budgets alloués à l’éducation, l’amélioration des infrastructures scolaires et le recru",Renforcer la qualité de l’éducation dans le respect de la diversité linguistique.,"Le programme intervient prioritairement en Afrique de l’Ouest, en Afrique centrale et dans l’Océan Indien. Les pays impliqués sont le Bénin, le Burkina Faso, le Burundi, le Cameroun, la Côte d’Ivoire, la Guinée, Madagascar, le Mali, le Niger, la République démocratique du Congo, le Sénégal et le Togo. Des perspectives de partenariat sont envisagées avec de nouveaux pays comme Djibouti, la Guinée Bissau, la Mauritanie et le Tchad.
Les actions du projet bénéficient directement à trois catégories d","Ce projet a pour impact le renforcement des compétences en lecture et en mathématiques de 80 % des élèves des classes dotées d’enseignants formés par le projet. Cela se mesurera par les effets suivants :
• plus de 70 % des acteurs éducatifs appuyés sont capables de tenir des classes bilingues et de concourir au développement d’une expertise nationale en la matière ;
• au moins 50 % des pays bénéficiaires ont pris des initiatives (textes législatifs, plaidoyer, création de structures dédiées) pou"
PROJ_A05,"ACQUÉRIR DES SAVOIRS, DÉCOUVRIR LE MONDE","Les ""centres de lecture et d’animation culturelle » (CLAC), lieux de culture et de débats, contribuent à offrir une compréhension approfondie des idées, des cultures et des enjeux de société aux jeunes et aux moins-jeunes. Ils sont ainsi mieux équipés pour participer activement et sereinement à la vie publique, contribuer à des solutions constructives et œuvrer pour des sociétés apaisées et un monde plus pacifique. Forts de 30 ans d’existence, les CLAC traduisent la conviction de l’OIF que la cu","Renforcer l’accès des populations périurbaines et rurales (notamment les jeunes et les femmes) aux savoirs, à la culture, à l’information, pour améliorer les apprentissages et l’éducation, l’inclusion sociale et le développement local","Le projet ciblera son intervention dans les pays et zones d’implantation des CLAC existants et interviendra également à la demande des États désireux de mettre en place un réseau de CLAC.

Le projet bénéficie à quatre groupes clairement identifiés : 
(i) Les populations issues des centres périurbains et ruraux, en particulier les jeunes et les filles ;
(ii) les acteurs de la création artistique et culturelle ;
(iii) les acteurs du monde éducatif ;
(iv) les ministères et les collectivités territo","Ce projet a pour impact l’amélioration de l’accès de la lecture publique dans les pays couverts. Cela se traduira par les effets suivants : 

• l’accès à près de 5 millions d’usagers, en particulier les filles et les jeunes, à des contenus culturels, numériques et éducatifs ;
• la participation à plus de 150 000 activités proposées dans l’ensemble du réseau."
PROJ_A06,INDUSTRIES CULTURELLES ET DÉCOUVRABILITÉ : UNE AMBITION FRANCOPHONE ET MONDIALE,"Face à la mondialisation et à l’homogénéisation des pratiques culturelles, les industries culturelles francophones jouent un rôle essentiel en matière de préservation de la diversité culturelle et linguistique. Elles contribuent à la valorisation des patrimoines locaux et des expressions culturelles, ainsi qu’à la création de moyens d’existence durables, notamment pour les jeunes et les femmes. Elles sont vectrices et moteurs de croissance économique et de développement social. À titre d’exemple","Promouvoir le rayonnement et l’excellence des industries culturelles francophones, en renforçant la création, la diffusion, la découvrabilité et la monétisation de leurs contenus, à la fois physiques et numériques.","Le projet concerne l’ensemble de l’espace francophone, mais avec une priorité accordée aux pays d’Asie-Pacifique, d’Afrique de l’Ouest, d’Afrique centrale, d’Afrique du Nord, de l’océan Indien, du Moyen-Orient et des Caraïbes. Le projet bénéficie aux trois groupes suivants :
(i) les artistes et les créateurs professionnels de contenus culturels
francophones, et plus particulièrement les femmes et les jeunes ;
(ii) les petites et moyennes entreprises ainsi que les associatons
qui œuvrent à la dis","En termes d’impact, ce projet doit permettre une augmentation de l’ordre de 20 % des revenus des artistes et créateurs soutenus. Cela se mesurera par les effets suivants :
• l’augmentation du chiffre d’affaires de 15 % des entreprises et des associations culturelles soutenues ;
• l’amélioration de 15 % de la visibilité des contenus culturels francophones en ligne et physiques d’ici la fin du quadriennum ;
• l’augmentation de 25 % de l’utilisation de compétences numériques liées à la découvrabili"
PROJ_A07,JEUX DE LA FRANCOPHONIE,"La Francophonie œuvre depuis toujours à promouvoir la compréhension mutuelle, la diversité, le respect et la coopération entre ses États et gouvernements membres. Les Jeux de la Francophonie, créés en 1987, incarnent parfaitement cette volonté d’échanges et d’amitiés. Ils sont en effet un événement sportif et culturel international réunissant des jeunes talents issus des cinq continents. Ils offrent une occasion exceptionnelle aux jeunes artistes et sportifs, qu’ils soient émergents ou reconnus,","Faire des jeux de la Francophonie (i) un espace de rencontres et de dialogue entre jeunes artistes et sportifs francophones et un (ii) levier de promotion des valeurs de la Francophonie (sport, langue française, diversité culturelle).","Les bénéficiaires des Jeux de la Francophonie sont nombreux et variés, avec un impact local et international.

(i) Participants : Athlètes et artistes bénéficient en se mesurant à leurs pairs, en développant leurs compétences, et en gagnant en visibilité à l’échelle internationale.
(ii) États et gouvernements : Les États membres de l'OIF promeuvent leur culture et leurs talents, tandis que le pays-hôte bénéficie d'un impact économique grâce au tourisme et à l'organisation de l'évènement.
(iii) C","En termes d’impact, ce projet doit permettre :

• Une augmentation du nombre de jeunes talents francophones engagés dans des pratiques artistiques et sportives à l’échelle internationale.
• Une meilleure visibilité des talents francophones avec une influence accrue sur la scène mondiale.
•Une amélioration des infrastructures et retombées économiques positives pour les pays organisateurs.
• Une influence accrue de la Francophonie sur la scène internationale, en consolidant son rôle dans la promot"
PROJ_A08,RADIO JEUNESSE SAHEL,"Dans une région confrontée à une conjonction de périls sans précédent, le projet « Radio Jeunesse Sahel » veut offrir un espace d’expression et d’ouverture à la jeunesse sahélienne. Il se donne comme ambition de susciter de nouvelles formes de dialogue, d’actions, de solidarité, de prises de parole et d’expériences culturelles. Faite avec, par et pour les jeunes du Burkina Faso, du Mali, de la Mauritanie, du Niger et du Tchad, Radio Jeunesse Sahel (RJS) est diffusée en français, arabe, bamanakan","Soutenir durablement la création et la diffusion de contenus et de produits culturels francophones, afin de favoriser le vivre ensemble et une vision constructive de l’avenir aux jeunes.","Le projet est mis en œuvre dans les cinq pays de la région du Sahel (le Burkina Faso, le Mali, la Mauritanie, le Niger et le Tchad).Trois groupes cibles seront visés : 

(i) un public jeune âgé de 15 à 35 ans et représentant toute la diversité de ces pays ;
(ii) les institutions (ministères, présidents des autorités de régulation de médias, etc.) ;
(iii) la société civile (associations de femmes et de jeunes, etc.).","Ce projet a pour impact l’augmentation de 10 % des jeunes qui participent à la vie de leur communauté et s’expriment dans les débats sociaux, culturels et politiques. Cela se mesurera par les effets suivants :

•  60 % des jeunes prennent conscience des valeurs, des intérêts et de la diversité qui définissent leur environnement, renforçant ainsi leur tolérance et leur compréhension du vivre ensemble ;
•  30 % des jeunes accompagnés sont engagés envers des actions porteuses de développement pour "
PROJ_A09,ÉTAT CIVIL,"Le projet « État civil » vise à contribuer à la mise en place de systèmes d’enregistrement de l’état civil fiables et accessibles à tous, au sein des États et gouvernements membres de la Francophonie. En s’appuyant sur les acquis de la phase pilote mise en œuvre au Niger, à Madagascar et au Cameroun depuis 2020, ce projet entend montrer par l’exemple comment relever les nombreux défis qui subsistent quant à la modernisation des systèmes d’état civil, notamment l’accès à l’état civil, l’inadéquat","Contribuer à l’instauration et au développement de la démocratie, de la prévention des conflits et du soutien à l’État de droit et aux droits de l’Homme.","Le projet sera mis en œuvre prioritairement, mais pas exclusivement, dans les pays d’Afrique centrale, d’Afrique de l’Ouest et de l’océan Indien, en particulier ceux ayant un faible taux d’enregistrement des enfants de moins de 5 ans.

Trois groupes cibles sont visés :
(i) les populations (enfants dépourvus d’identité avec une attention particulière portée aux filles) ;
(ii) les institutions (ministères responsables de l’état civil,
parlementaires) ;
(iii) les organisations de la société civile ","Le projet a pour impact l’augmentation de plus de 25 % du taux d’enregistrement des naissances dans les zones concernées. Cela se mesurera par les effets suivants :

• plus de 60 000 enfants disposent d’une identité ;
• plus 300 000 leaders d’opinion, autorités locales, leaders de la société civile (dont 20 % de femmes) ont amélioré leur perception et connaissances en matière d’état civil ;
• plusieurs États ont fait de l’état civil une priorité en actualisant ou adoptant un (nouveau) plan strat"
PROJ_A10,"RENFORCEMENT DE L’ÉTAT DE DROIT, DES DROITS DE L’HOMME ET DE LA JUSTICE","Ce projet intervient dans un contexte où un nombre important de pays de l’espace francophone font aujourd’hui face à une conjonction de risques, qui mettent à mal le respect des droits et libertés. Certains d’entre eux sont liés à la récurrence de dysfonctionnements de la démocratie, d’autres découlent d’atteintes répétées aux droits de l’Homme. Renforcer les capacités des institutions garantes de l’État de droit et le respect des droits et libertés fondamentales revêt donc un caractère existent","Contribuer à l’instauration et au développement de la démocratie, à la prévention des conflits et au soutien à l’État de droit et aux droits de l’Homme.","Le projet sera mis en œuvre prioritairement au bénéfice des pays et institutions exposés à des crises et/ou des risques et qui demandent l’appui de l’OIF.

Les bénéficiaires directs sont l’ensemble des acteurs institutionnels de l’État de droit (gouvernements, parlements, institutions judiciaires, institutions nationales indépendantes agissant dans le domaine des droits de l’Homme) ainsi que les organisations intergouvernementales et la société civile.","Le projet a pour impact l’amélioration du respect de l’État de droit, des droits de l’Homme et de la justice dans les pays concernés. Cela se mesurera par les effets suivants :
• des instruments et outils adoptés mis en place qui garantissent l’indépendance et la modernisation de la justice et l’application des décisions de justice ;
• des institutions parlementaires prenant mieux en compte le respect de l’État de droit, des droits de l’Homme et de la justice ;
• des lois / mesures adoptées (ou "
PROJ_A11,PRÉVENTION ET LUTTE CONTRE LES DÉSORDRES DE L’INFORMATION,"Ce projet vise précisément à créer les conditions de production et de diffusion d’une information de meilleure qualité, afin de renforcer la gouvernance démocratique et l’État de droit au sein de l’espace francophone. Les désordres de l’information (désinformation, mésinformation, mal-information, discours de haine) constituent un fléau mondial amplifié par les technologies numériques, auquel n’échappe aucun pays de l’espace francophone. Le développement massif des plateformes en ligne et de l’a","Créer les conditions d’une meilleure qualité et intégrité de l’information comme moyen de consolider la gouvernance démocratique, l’État de droit, les droits de l’Homme","• Acteurs institutionnels nationaux et internationaux : organisations intergouvernementales, gouvernements, parlements, autorités de régulation, organes de gestion des élections, etc. 
• Acteurs des médias et de la société civile, initiatives de vérification des faits, influenceurs, etc.
• Acteurs de l’éducation ; écoles (enseignants) centres de recherche et les universités (chercheurs).","Ce projet a pour impact d’améliorer l’accès à plusieurs millions de francophones à une information intègre et de qualité, dans le respect des droits et des libertés fondamentales. Cela se traduira par les effets suivants :

• plusieurs pays francophones font de la lutte contre les désordres de l’information une priorité et près de 15 d’entre eux sont accompagnés par l’OIF dans l’adaptation de leurs politiques publiques ;
• une centaine d’initiatives francophones de lutte contre les désordres de "
PROJ_A12,ACCOMPAGNEMENT DES PROCESSUS DÉMOCRATIQUES,"Le projet d’accompagnement des processus démocratiques vise à renforcer les acquis démocratiques au sein des États membres de la Francophonie. Il contribue à la mise en œuvre du mandat de l’OIF qui entend favoriser une démocratie ouverte et transparente, pluraliste et inclusive, dans laquelle le dialogue, la concertation, ainsi que la solidarité sont au service d’une vie politique et institutionnelle apaisée. 
Avec comme objectif de renforcer le respect des principes démocratiques et des droits ","Contribuer à l’instauration et au développement de la démocratie, à la prévention des conflits et au soutien à l’État de droit et aux droits de l’Homme.","La mobilisation de l’OIF se fera sur saisine des États et gouvernements membres. Le projet sera mis en œuvre prioritairement dans les pays en phase de transition ou ceux engagés dans un processus électoral à enjeu. Les agendas électoraux déterminent les pays qui seront prioritaires. En fonction de l’évolution des contextes, l’OIF adaptera son plan d’action.

Trois groupes cibles sont visés :
(i) les États et les institutions étatiques pour l’accompagnement ;
(ii) les organisations (médias, organ","Le projet a pour impact l’amélioration de l’efficacité et le renforcement des rôles et des missions des acteurs et institutions soutenus, impliqués dans les processus démocratiques. Cela se mesurera par les effets suivants : 

• les États sont davantage accompagnés dans la durée ;
• dans les pays d’intervention, 50 % des cadres juridiques sont améliorés (y compris les fichiers électoraux) ;
• 50 % des institutions impliquées dans les processus démocratiques remplissent leur mission ; elles sont "
PROJ_A13,SOUTIEN À LA PAIX ET À LA STABILITÉ,"L’OIF entend contribuer à renforcer la prévention des conflits au sein de l’espace francophone.Ce projet intervient dans un contexte marqué par des défis sécuritaires et politiques accrus. Entre coups d’État, coups de force militaires, terrorisme, tensions politico-militaires à certaines frontières, insurrections, l’espace francophone est confronté à des ruptures soudaines de la démocratie et crises polymorphes qui fragilisent l’État de droit et modifient parfois profondément les structures de g","Contribuer à l’établissement d’un 
environnement sécuritaire et politique stable et apaisé dans les pays de l’espace francophone.","La mobilisation de l’OIF se fera sur demande des États et gouvernements membres. Le projet sera mis en œuvre prioritairement dans les pays : 
• en phase de transition
• faisant face à des crises intraétatiques et/ou interétatiques
• confrontés aux crises sécuritaires liées au terrorisme.

Trois groupes cibles sont visés :
(i) les États pour la recherche de la paix et de la stabilité ;
(ii) les organisations (institutions étatiques, OSC, réseaux, etc.) pour le renforcement de leurs capacités ;
(i","Le projet a pour impact le renforcement de la sécurité dans les pays bénéficiaires, tout en contribuant à faire de la Francophonie un espace de paix. Cela se traduira par les effets suivants :
• l’OIF a des mécanismes d’analyse et de réaction plus efficaces avec plus de visibilité au sein de la communauté internationale et un accroissement des partenariats stratégiques développés et mieux coordonnés entre partenaires multilatéraux. La mesure se situera au niveau de la capacité de l’OIF à faire p"
PROJ_A14,LA FRANCOPHONIE AVEC ELLES,"Depuis plus de vingt ans, l’OIF déploie ainsi sur le terrain des efforts importants en faveur de la réduction des inégalités et des disparités de genre. Avec le Fonds « La Francophonie avec elles », l’OIF réitère son engagement à accompagner les femmes à conquérir une plus grande autonomie économique et sociale. 
Destiné à accompagner les jeunes femmes en situation de vulnérabilité, ce fonds a permis depuis sa création au plus fort de la pandémie, d’aider directement plus de 43 000 femmes, à tra",Soutenir des actions de terrain et de plaidoyer renforçant l’autonomie économique et sociale des femmes en situation de vulnérabilité dans une perspective de développement durable,"Ce fonds de solidarité a vocation à soutenir en priorité les initiatives portées par les organisations de la société civile en Afrique de l’Ouest, en Afrique centrale, dans l’océan Indien, en Afrique du Nord, en Asie-Pacifique, au Moyen-Orient et dans les Caraïbes. 

Les bénéficiaires finaux du projet sont les femmes, notamment les jeunes femmes, en situation de vulnérabilité.

Le projet a également comme bénéficiaires les organisations de la société civile et les structures (collectivités décen","En termes d’impact, ce projet doit permettre à plus de 20 % des femmes accompagnées d’accéder à un emploi stable. Cela se traduira par les effets suivants : 
• au moins 60 % des femmes accompagnées ont intégré dans leurs activités les nouvelles compétences acquises ;
• au moins 60 % des femmes accompagnées ont amélioré leurs chiffres d’affaires grâce aux activités génératrices de revenus ou à des opportunités économiques ; 
• au moins 60 % des organisations ou structures partenaires accompagnées"
PROJ_A15,INNOVATIONS ET PLAIDOYERS FRANCOPHONES,"Le projet « Innovations et plaidoyers francophones » vise à mieux préparer les pays de l’espace francophone aux problèmes de plus en plus complexes auxquels ils sont confrontés. Cette préparation suppose de changer de paradigme. Bien sûr, les États et les gouvernements restent prescripteurs de politiques publiques, mais l’évolution des sociétés met en évidence la nécessité d’aborder les sujets de manière plus horizontale et organique que par le passé. Pour ce faire, le rôle des jeunes, en tant q","Promouvoir l’innovation et le plaidoyer en encourageant la créativité et la mobilisation citoyenne pour résoudre les défis sociaux, économiques, numériques et environnementaux.","Le projet concerne l’ensemble des États et gouvernements francophones engagés pour un changement positif en faveur de l’égalité entre les femmes et les hommes, du développement durable et de l’inclusion sociale.

Deux groupes prioritaires sont visés :
(i) les jeunes et les femmes ;
(ii) les organisations de la société civile","Ce projet a pour impact l’amélioration de l’autonomie et du statut des jeunes, des femmes et des organisations de la société civile grâce à des actions de plaidoyer et le développement d’actions innovantes. Cela se traduira par les effets suivants :

• la mise en œuvre d’initiatives adaptées aux besoins des jeunes et des femmes accroit leur représentativité dans les instances de décisions internationales et leurs engagements dans la vie politique, sociale et économique ;
• les plaidoyers portés "
PROJ_A16a,D-CLIC : FORMEZ-VOUS AU NUMÉRIQUE,"Le projet « D-CLIC : formez-vous au numérique » a pour objectif d’améliorer l’insertion professionnelle des femmes et des jeunes francophones, ainsi que d’augmenter leurs chances d’accéder à des emplois décents, en entreprises ou comme entrepreneurs, en renforçant leurs compétences numériques. Il vise aussi à renforcer les capacités des États et gouvernements pour leur permettre de jouer un rôle plus décisif dans la gouvernance mondiale du numérique.La transformation numérique de nos sociétés, a","Renforcer les compétences numériques des populations francophones afin de les préparer à mieux répondre et maîtriser les mutations des économies, dans un contexte de transformation numérique de leurs pays.","Les pays ou zones cibles du projets:
(i) les États d’Afrique pour l’initiation et la formation de base en
numérique ;
(ii) les États d’Afrique pour les formations aux métiers du numérique (et le cas échéant d’autres pays membres de la Francophonie via les possibilités de formation en auto-apprentissage offertes par la plateforme D-CLIC) ; 
(iii) les États d’Afrique, des Caraïbes et de l’Asie-Pacifique pour les formations des agents publics nationaux francophones, ainsi que les délégations des Ét","Le projet a comme impact l’accès à l’emploi, dans l’année suivant la formation, d’au moins 50 % des jeunes et des femmes formés à des métiers du numérique ainsi que la prise en compte par les États et gouvernements des enjeux sur la gouvernance du numérique. Cela se traduira par les effets suivants :

• au moins 50 % des jeunes formés à des compétences de base au numérique en font usage dans leurs activités ;
• au moins 50 % des jeunes utilisent les compétences acquises dans les métiers auxquels"
PROJ_A16b,GOUVERNANCE NUMÉRIQUE,,,,
PROJ_A17,PROMOTION DES ÉCHANGES ÉCONOMIQUES ET COMMERCIAUX FRANCOPHONES,"Le projet « Promotion des échanges économiques et commerciaux francophones » a un objectif double : renforcer la diplomatie économique des États et gouvernements francophones d’une part, améliorer les échanges économiques et commerciaux entre les entreprises francophones d’autre part.
Aujourd’hui, l’espace francophone concentre 17,5 % de la population mondiale, 16,5 % du PNB mondial et 20 % du commerce mondial des marchandises. Il constitue donc un terrain fertile pour des échanges commerciaux r",Contribuer à renforcer la diplomatie économique francophone et les échanges économiques et commerciaux entre les pays de l’espace francophone,"Le projet concerne l’ensemble des États, gouvernements et régions de la Francophonie, qui sont appelés à se mobiliser collectivement pour atteindre ces objectifs. Les bénéficiares finaux sont:

(i) les États et gouvernements francophones ;
(ii) les entreprises francophones, en particulier les petites et moyennes entreprises désireuses de se développer à l’international ;
(iii) les réseaux économiques et professionnels francophones.","Ce projet a pour impact l’augmentation de la croissance à l’international d’au moins 20 % des entreprises associées, grâce aux partenariats noués. Cela se traduira par les effets suivants : 

•  60 % des parties prenantes outillées (États et gouvernements membres, acteurs du secteur privé, partenaires internationaux et régionaux) ont intégré dans leurs activités les enjeux, recommandations et pratiques en matière d’amélioration de l’environnement des affaires, sur lesquelles elles ont été inform"
PROJ_A18,ACCOMPAGNEMENT DES TRANSFORMATIONS STRUCTURELLES EN MATIÈRE D’ENVIRONNEMENT ET DE CLIMAT,"Le projet « Accompagnement des transformations structurelles en matière d’environnement et de climat » vise à renforcer la résilience des populations des États et gouvernements membres face aux changements climatiques. Il vise également à accroître leur autonomisation face aux défis environnementaux, économiques et sociaux qui découlent de ces bouleversements. Ce projet repose sur le constat que les défis majeurs de la prochaine décennie sont étroitement liés aux risques climatiques et environne","Contribuer à la résilience et l’autonomisation des populations, face aux défis environnementaux, climatiques, économiques et sociaux et de façon spécifique, appuyer les États et gouvernements ciblés dans leurs transformations structurelles et de résilience face aux effets des changements climatiques, particulièrement marqués dans certains États et gouvernements vulnérables","Le projet « Accompagnement des transformations structurelles en matière d’environnement et de climat » concerne prioritairement les États d’Afrique qui sont demandeurs d’outils et de connaissances sur les techniques de négociations, ainsi que ceux qui souhaitent accéder aux fenêtres de financements internationaux.

Deux groupes cibles seront visés :
(i) les décideurs publics (négociateurs) qui participent aux cadres internationaux de prises de décisions sur le climat et l’environnement ;
(ii) le","En termes d’impact, ce projet doit permettre de renforcer les capacités des États et gouvernements francophones dans leur gestion des effets des changements climatiques et de leur faciliter l’accès aux finances durables. Cela se traduira par les effets suivants :
•  60 % des négociateurs et décideurs soutenus ont intégré dans leurs activités les enjeux et pratiques pour mieux défendre les positions des pays francophones ;
•  60 % des acteurs de terrain (administrations publiques, organisations d"
PROJ_A19,SOUTIEN AUX INITIATIVES ENVIRONNEMENTALES DANS LE BASSIN DU CONGO,"Le projet « Soutien aux initiatives environnementales dans le bassin du Congo » vise à améliorer la résilience des populations et des écosystèmes dans le Bassin du Congo. Pour y parvenir, ce projet mise sur le partage de connaissances, la vulgarisation d’éco-innovations frugales et de bonnes pratiques de gestion et de valorisation durable des ressources naturelles. Le Bassin du Congo est, avec l’Amazonie, le poumon vert de la planète. Il contribue à la fixation de 25 à 30 % du carbone mondial. C","Contribuer à l’amélioration de la résilience des populations et des écosystèmes dans le Bassin du Congo, à travers la promotion de connaissances, d’éco-innovations frugales et de bonnes pratiques de gestion et de valorisation durable des ressources naturelles.","Le projet se focalisera sur les 6 États du Bassin du Congo (Cameroun, République centrafricaine, République démocratique du Congo, République du Congo, Guinée équatoriale et Gabon). Les actions du projet bénéficieront directement à trois catégories d’acteurs :

(i) Les acteurs de terrain impliqués dans la mise en œuvre des
engagements nationaux, notamment les organisations non gouvernementales, les universités, les centres de recherche, et les acteurs du secteur privé. 
(ii) Les coopératives agr","Ce projet a pour impact l’amélioration des revenus et de la diversité alimentaire de 75 % des ménages bénéficiaires du projet, ainsi que le stockage de plus d’un million de tonnes de carbone grâce aux agroécosystèmes mis en place par les jeunes. Cela se traduira par les effets suivants :
• 30 % des innovations brevetées quittent le stade de la reconnaissance pour confirmer leur utilité et leur usage en rentrant dans les habitudes de production et de consommation durable des populations visées. 
"
PROJ_A20,PROMOTION DU TOURISME DURABLE,"Le projet « Promotion d’un tourisme durable » veut contribuer à faire du tourisme durable un pilier du développement dans les pays francophones. Son ambition est d’accroître la résilience et l’autonomisation des populations, en particulier des jeunes et des femmes, afin de faire face aux défis environnementaux, climatiques, économiques et sociaux.
Ce projet repose sur le constat que les pays francophones possèdent d’inestimables richesses culturelles, naturelles et historiques, qui attirent des ","Contribuer à une meilleure autonomie des populations, en particulier des jeunes et des femmes, afin de faire face aux défis environnementaux, climatiques, économiques et sociaux.","Le projet cible en priorité les États de l’océan Indien, d’Afrique du Nord et d’Asie-Pacifique. En fonction des besoins exprimés et des ressources disponibles, tout autre État et gouvernement membre pourra également bénéficier d’une expertise de l’OIF en la matière.

Les actions de ce projet bénéficieront directement à trois catégories d’acteurs :
(i) les jeunes, les femmes et ceux appartenant à des associations ou groupements d’intérêts économiques, ainsi que des porteurs de projets qui permett","En termes d’impact, ce projet doit permettre de générer des bénéfices sociaux (création d’emplois, amélioration des revenus et réduction de la pauvreté), des bénéfices économiques (contribution au PIB, diversification de l’économie locale) et des bénéfices environnementaux (faible bilan carbone) au profit des territoires ayant mis en place des circuits touristiques durables. Cela se traduira par les effets suivants : 
• 70 % des jeunes et des femmes formés dans les métiers du tourisme durable tr"
